X15,45,95,100,10,10,Gy/MU,
3,4,5,7,10,15,20,
3,0.868,0.884,0.893,0.902,0.908,0.914,0.918,
4,0.886,0.906,0.916,0.928,0.936,0.943,0.948,
5,0.896,0.918,0.930,0.943,0.953,0.962,0.968,
7,0.908,0.933,0.947,0.964,0.977,0.989,0.997,
10,0.919,0.946,0.963,0.983,1.000,1.016,1.027,
15,0.928,0.958,0.977,1.001,1.022,1.044,1.060,
20,0.933,0.965,0.985,1.011,1.036,1.061,1.080,
30,0.940,0.973,0.995,1.025,1.054,1.085,1.109,
40,0.945,0.979,1.001,1.033,1.064,1.099,1.125,
