#
# 8MV W45 Output Factors
#
%
%
%BMTY PHO
%TYPE OutputFactorTable
%SourcePhantomDistance 950
%DetectorDepth 50
# Data
3,4,5,7,10,15,20,
3,0.890,0.903,0.910,0.918,0.924,0.930,0.933
4,0.903,0.917,0.926,0.936,0.944,0.951,0.956
5,0.910,0.926,0.936,0.949,0.958,0.967,0.973
7,0.921,0.940,0.952,0.967,0.980,0.991,1.000
10,0.930,0.951,0.966,0.984,1.000,1.017,1.029
15,0.938,0.962,0.977,1.000,1.020,1.042,1.059
20,0.942,0.967,0.985,1.009,1.033,1.059,1.080
30,0.949,0.975,0.995,1.022,1.051,1.084,1.110
40,0.953,0.980,1.001,1.030,1.061,1.098,1.127
