X10,0,95,100,10,10,Gy/MU,
3,4,5,7,10,15,20,30,40,
3,0.921,0.932,0.937,0.943,0.946,0.950,0.951,0.952,0.952
4,0.934,0.947,0.954,0.961,0.965,0.969,0.970,0.972,0.972
5,0.940,0.955,0.962,0.970,0.976,0.980,0.982,0.983,0.984
7,0.948,0.963,0.972,0.982,0.989,0.994,0.997,0.999,1.000
10,0.953,0.970,0.980,0.991,1.000,1.007,1.011,1.014,1.014
15,0.956,0.975,0.985,0.998,1.008,1.018,1.022,1.026,1.028
20,0.958,0.977,0.988,1.002,1.013,1.023,1.029,1.034,1.035
30,0.961,0.980,0.992,1.006,1.018,1.029,1.037,1.043,1.045
40,0.962,0.982,0.993,1.008,1.020,1.032,1.040,1.047,1.048
