#
# 15MV W30 Output Factors
#
%
%
%BMTY PHO
%TYPE OutputFactorTable
%SourcePhantomDistance 950
%DetectorDepth 50
# Data
3,4,5,7,10,15,20,30,
3,0.866,0.884,0.892,0.901,0.907,0.913,0.917,0.921
4,0.886,0.906,0.916,0.928,0.936,0.943,0.948,0.954
5,0.896,0.918,0.930,0.944,0.953,0.962,0.969,0.976
7,0.907,0.933,0.947,0.964,0.977,0.989,0.997,1.007
10,0.917,0.946,0.963,0.983,1.000,1.017,1.028,1.041
15,0.927,0.958,0.977,1.001,1.023,1.045,1.061,1.080
20,0.933,0.964,0.985,1.011,1.036,1.063,1.082,1.106
30,0.939,0.973,0.995,1.025,1.054,1.086,1.111,1.142
40,0.944,0.979,1.001,1.033,1.065,1.101,1.130,1.164
