X04,30,95,100,10,10,Gy/MU,
3,4,5,7,10,15,20,30,
3,0.862,0.875,0.883,0.894,0.903,0.911,0.916,0.924,
4,0.874,0.889,0.900,0.914,0.925,0.936,0.944,0.953,
5,0.883,0.900,0.914,0.929,0.943,0.957,0.966,0.978,
7,0.896,0.918,0.933,0.954,0.972,0.990,1.003,1.019,
10,0.908,0.932,0.951,0.976,1.000,1.024,1.042,1.065,
15,0.918,0.945,0.967,0.998,1.027,1.061,1.086,1.119,
20,0.924,0.953,0.977,1.011,1.046,1.087,1.118,1.159,
30,0.933,0.965,0.991,1.030,1.072,1.123,1.163,1.218,
40,0.937,0.970,0.998,1.040,1.087,1.146,1.193,1.254,
