#
# 8MV W30 Output Factors
#
%
%
%BMTY PHO
%TYPE OutputFactorTable
%SourcePhantomDistance 950
%DetectorDepth 50
# Data
3,4,5,7,10,15,20,30,
3,0.888,0.900,0.908,0.915,0.922,0.928,0.932,0.937
4,0.900,0.916,0.924,0.934,0.942,0.949,0.956,0.962
5,0.908,0.925,0.934,0.947,0.956,0.966,0.974,0.983
7,0.919,0.938,0.951,0.965,0.978,0.992,1.001,1.014
10,0.929,0.951,0.965,0.983,1.000,1.018,1.032,1.048
15,0.937,0.961,0.977,1.000,1.022,1.046,1.066,1.089
20,0.942,0.968,0.986,1.011,1.036,1.066,1.089,1.119
30,0.950,0.977,0.996,1.026,1.056,1.094,1.123,1.162
40,0.955,0.983,1.004,1.036,1.070,1.113,1.146,1.189
