#
# 10MV W30 Output Factors
#
%
%
%BMTY PHO
%TYPE OutputFactorTable
%SourcePhantomDistance 950
%DetectorDepth 50
# Data
3,4,5,7,10,15,20,30,
3,0.876,0.891,0.898,0.906,0.913,0.919,0.923,0.928
4,0.892,0.909,0.918,0.928,0.937,0.945,0.950,0.957
5,0.901,0.919,0.930,0.943,0.953,0.963,0.969,0.977
7,0.912,0.933,0.946,0.963,0.977,0.990,0.999,1.009
10,0.923,0.947,0.962,0.982,1.001,1.018,1.030,1.045
15,0.932,0.959,0.977,1.001,1.024,1.048,1.066,1.087
20,0.938,0.966,0.985,1.012,1.039,1.067,1.089,1.116
30,0.944,0.974,0.996,1.026,1.057,1.093,1.120,1.156
40,0.949,0.981,1.002,1.035,1.069,1.109,1.141,1.179
