X08,60,95,100,10,10,Gy/MU,
3,4,5,7,10,15,
3,0.887,0.899,0.906,0.914,0.921,0.926,
4,0.899,0.913,0.922,0.933,0.941,0.949,
5,0.907,0.923,0.933,0.945,0.956,0.966,
7,0.917,0.936,0.949,0.965,0.978,0.991,
10,0.927,0.949,0.963,0.983,1.000,1.018,
15,0.936,0.960,0.977,1.000,1.022,1.046,
20,0.941,0.965,0.984,1.010,1.037,1.066,
30,0.948,0.975,0.996,1.025,1.057,1.094,
40,0.952,0.981,1.002,1.035,1.069,1.110,
