X08,0,95,100,10,10,Gy/MU,
3,4,5,7,10,15,20,30,40,
3,0.894,0.906,0.913,0.921,0.926,0.931,0.933,0.936,0.937
4,0.907,0.921,0.929,0.940,0.946,0.952,0.956,0.959,0.960
5,0.914,0.930,0.940,0.952,0.961,0.968,0.971,0.976,0.977
7,0.924,0.944,0.956,0.971,0.981,0.990,0.996,1.001,1.003
10,0.934,0.955,0.969,0.987,1.000,1.012,1.019,1.027,1.029
15,0.940,0.963,0.979,0.999,1.016,1.031,1.042,1.052,1.055
20,0.944,0.968,0.984,1.006,1.024,1.042,1.055,1.067,1.071
30,0.948,0.973,0.990,1.014,1.035,1.056,1.071,1.087,1.093
40,0.951,0.976,0.994,1.018,1.040,1.063,1.079,1.096,1.102
